"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,138749,CME ,00,138 ,   18564,   10218,    6876,       0,    5804,    8386,       0,       0,    1974,       0,       0,       0,       0,   16022,   17236,    2542,    1328,     422,     -16,     760,       0,      80,    -423,       0,       0,    -105,       0,       0,       0,       0,      64,     232,     358,     190,  100.0,   55.0,   37.0,    0.0,   31.3,   45.2,    0.0,    0.0,   10.6,    0.0,    0.0,    0.0,    0.0,   86.3,   92.8,   13.7,    7.2,     20,      4,      5,      0,      4,.,      0,      0,      4,      0,      0,      0,      0,      8,     12,    69.9,    73.7,    86.3,    85.1,    69.9,    73.7,    86.3,    85.1,"($100 x S&P Select Sector Energy Index price)","138749","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250610,2025-06-10,13874A,CME ,00,138 , 2223909,  194858,  803150,  206280, 1088561,  262430,  114745,  150882,  465145,   98825,  114149,   86688,    5894, 1974194, 2043157,  249715,  180752,  100047,   16825,  -63629,  111374,    5223,   -7224,   -1132,  -10580,   17615,   31841,  -58300,   15000,     547,   95798,  104392,    4249,   -4345,  100.0,    8.8,   36.1,    9.3,   48.9,   11.8,    5.2,    6.8,   20.9,    4.4,    5.1,    3.9,    0.3,   88.8,   91.9,   11.2,    8.1,    449,     23,     44,     29,    156,     55,     84,     62,     80,     63,     18,     11,      6,    340,    291,    12.9,    23.6,    20.6,    34.5,     8.8,    18.4,    15.8,    27.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250603,2025-06-03,13874A,CME ,00,138 , 2123862,  178033,  866779,   94906, 1083338,  269654,  115877,  161462,  447530,   66984,  172449,   71688,    5347, 1878396, 1938765,  245466,  185097,   11696,   13661,  -12917,   13661,  -38397,    3996,   -4399,   -5668,   21849,    4953,   21705,   -7759,   -2293,    3223,   17091,    8473,   -5395,  100.0,    8.4,   40.8,    4.5,   51.0,   12.7,    5.5,    7.6,   21.1,    3.2,    8.1,    3.4,    0.3,   88.4,   91.3,   11.6,    8.7,    448,     23,     42,     26,    159,     54,     86,     60,     77,     57,     19,     12,      7,    335,    289,    10.4,    23.4,    18.3,    34.1,     9.3,    20.3,    16.5,    30.4,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250527,2025-05-27,13874A,CME ,00,138 , 2112166,  164372,  879696,   81245, 1121735,  265658,  120276,  167130,  425681,   62031,  150744,   79447,    7640, 1875173, 1921674,  236993,  190492,   -1502,  -20936,   18617,    5032,   -1788,   15577,    7054,   16699,  -23312,   -1132,   -5085,  -20963,    1205,    1049,    2078,   -2551,   -3580,  100.0,    7.8,   41.6,    3.8,   53.1,   12.6,    5.7,    7.9,   20.2,    2.9,    7.1,    3.8,    0.4,   88.8,   91.0,   11.2,    9.0,    449,     22,     42,     25,    158,     51,     88,     60,     82,     60,     21,     11,      7,    335,    294,    10.4,    23.2,    18.3,    33.9,     9.8,    20.5,    16.9,    30.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250520,2025-05-20,13874A,CME ,00,138 , 2113668,  185308,  861079,   76213, 1123523,  250081,  113222,  150431,  448993,   63163,  155829,  100410,    6435, 1874124, 1919596,  239544,  194072,  -12222,   -5766,   -3184,   14396,   10766,   -6598,   -7863,   -9150,     757,   -5279,    1109,   -9069,     299,   -1488,  -16541,  -10734,    4319,  100.0,    8.8,   40.7,    3.6,   53.2,   11.8,    5.4,    7.1,   21.2,    3.0,    7.4,    4.8,    0.3,   88.7,   90.8,   11.3,    9.2,    450,     22,     41,     25,    157,     52,     84,     59,     84,     64,     20,     12,      6,    335,    294,    10.7,    23.4,    19.3,    33.9,    10.3,    20.7,    17.9,    30.5,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250513,2025-05-13,13874A,CME ,00,138 , 2125890,  191074,  864263,   61817, 1112757,  256679,  121085,  159581,  448236,   68442,  154720,  109479,    6136, 1875612, 1936137,  250278,  189753,   -7762,    2566,  -17647,  -11031,   13460,  -26456,   -9305,    2114,   33330,   -4016,  -14134,   39081,    -383,  -20729,    3573,   12967,  -11335,  100.0,    9.0,   40.7,    2.9,   52.3,   12.1,    5.7,    7.5,   21.1,    3.2,    7.3,    5.1,    0.3,   88.2,   91.1,   11.8,    8.9,    448,     21,     43,     23,    157,     52,     84,     57,     85,     61,     18,     13,      7,    328,    295,    10.6,    22.5,    19.2,    34.1,    10.2,    19.8,    18.4,    29.9,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250506,2025-05-06,13874A,CME ,00,138 , 2133652,  188508,  881910,   72848, 1099297,  283135,  130390,  157467,  414906,   72458,  168854,   70398,    6519, 1896341, 1932564,  237311,  201088,    -432,   21242,  -38897,   27037,  -10081,    3158,  -16255,    7457,   15019,   10214,  -38162,   -3514,    1527,    2979,   -1711,   -3411,    1279,  100.0,    8.8,   41.3,    3.4,   51.5,   13.3,    6.1,    7.4,   19.4,    3.4,    7.9,    3.3,    0.3,   88.9,   90.6,   11.1,    9.4,    469,     23,     41,     21,    162,     56,     94,     66,     88,     59,     18,     13,      7,    344,    306,    10.5,    22.3,    19.3,    34.7,     9.8,    19.4,    18.0,    30.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250429,2025-04-29,13874A,CME ,00,138 , 2134084,  167266,  920807,   45811, 1109378,  279977,  146645,  150010,  399887,   62244,  207016,   73912,    4992, 1893362, 1934275,  240722,  199809,  -75572,  -12198,  -37299,    6596,   -7784,  -24066,   -6673,  -18589,  -20545,    -613,  -38881,    5832,   -1707,  -79849,  -78475,    4277,    2903,  100.0,    7.8,   43.1,    2.1,   52.0,   13.1,    6.9,    7.0,   18.7,    2.9,    9.7,    3.5,    0.2,   88.7,   90.6,   11.3,    9.4,    466,     24,     40,     21,    158,     61,     91,     61,     82,     61,     19,     18,      7,    337,    309,    10.6,    22.6,    18.9,    34.4,    10.3,    21.1,    18.4,    31.5,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250422,2025-04-22,13874A,CME ,00,138 , 2209656,  179464,  958106,   39215, 1117162,  304043,  153318,  168599,  420432,   62857,  245897,   68080,    6699, 1973211, 2012750,  236445,  196906,   27748,    4909,   24266,  -15399,   29255,   27436,   -7701,    8947,   29311,  -12433,   20348,   -7133,    -696,   27230,   37651,     518,   -9903,  100.0,    8.1,   43.4,    1.8,   50.6,   13.8,    6.9,    7.6,   19.0,    2.8,   11.1,    3.1,    0.3,   89.3,   91.1,   10.7,    8.9,    469,     22,     41,     19,    158,     63,     96,     63,     81,     54,     23,     17,      9,    340,    307,    10.4,    22.1,    19.4,    32.5,    10.2,    21.0,    18.9,    30.5,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250415,2025-04-15,13874A,CME ,00,138 , 2181908,  174555,  933840,   54614, 1087907,  276607,  161019,  159652,  391121,   75290,  225549,   75213,    7395, 1945981, 1975099,  235927,  206809, -150894,   12694,  -34865,   -9134,    1159,    3024,    -534,  -57020,  -92696,    3747,  -72493,    -643,  -12312, -133893, -143413,  -17001,   -7481,  100.0,    8.0,   42.8,    2.5,   49.9,   12.7,    7.4,    7.3,   17.9,    3.5,   10.3,    3.4,    0.3,   89.2,   90.5,   10.8,    9.5,    456,     24,     41,     19,    154,     62,     96,     60,     76,     50,     22,     17,      9,    330,    300,    10.5,    22.0,    19.0,    31.9,    10.2,    20.0,    18.5,    29.2,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250408,2025-04-08,13874A,CME ,00,138 , 2332802,  161861,  968705,   63748, 1086748,  273583,  161553,  216672,  483817,   71543,  298042,   75856,   19707, 2079874, 2118512,  252928,  214290,  221052,   23602,  -19822,    9784,   -5413,   66902,   32922,   47082,   53066,   23214,   71080,    -378,   15285,  217556,  180973,    3496,   40079,  100.0,    6.9,   41.5,    2.7,   46.6,   11.7,    6.9,    9.3,   20.7,    3.1,   12.8,    3.3,    0.8,   89.2,   90.8,   10.8,    9.2,    477,     26,     40,     18,    156,     60,     90,     65,     86,     56,     24,     20,      9,    344,    306,     9.6,    22.3,    18.1,    32.8,     9.5,    20.2,    17.6,    29.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250401,2025-04-01,13874A,CME ,00,138 , 2111750,  138259,  988527,   53964, 1092161,  206681,  128631,  169590,  430751,   48329,  226962,   76234,    4422, 1862318, 1937539,  249432,  174211,   37399,    4042,   -5461,    6954,  -25680,    4166,   10507,    1341,   27895,   -2704,   42721,  -16154,    2033,   39214,   27236,   -1815,   10163,  100.0,    6.5,   46.8,    2.6,   51.7,    9.8,    6.1,    8.0,   20.4,    2.3,   10.7,    3.6,    0.2,   88.2,   91.8,   11.8,    8.2,    456,     22,     42,     19,    154,     54,     93,     65,     79,     53,     28,     10,      6,    341,    286,    10.2,    25.5,    18.5,    36.8,     9.8,    23.6,    17.7,    34.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250325,2025-03-25,13874A,CME ,00,138 , 2074351,  134217,  993988,   47010, 1117841,  202515,  118124,  168249,  402856,   51033,  184241,   92388,    2389, 1823104, 1910303,  251247,  164048, -486311,     142,  -51017, -202772,   49656,  -33813,  -40056,  -70850,  -24743, -125010,  -32328,   19968,  -20129, -441347, -477572,  -44964,   -8739,  100.0,    6.5,   47.9,    2.3,   53.9,    9.8,    5.7,    8.1,   19.4,    2.5,    8.9,    4.5,    0.1,   87.9,   92.1,   12.1,    7.9,    454,     25,     40,     14,    160,     49,     89,     69,     72,     50,     25,     13,      4,    338,    273,    11.1,    25.9,    19.5,    37.2,    10.8,    24.4,    18.7,    34.3,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,13874A,CME ,00,138 , 2560662,  134075, 1045005,  249782, 1068185,  236328,  158180,  239099,  427599,  176043,  216569,   72420,   22518, 2264451, 2387875,  296211,  172787,  278014,  -11102,  -29209,  184642,  -26542,  -11614,   29902,  -29305,  -34357,  111092,     476,   -5270,   19980,  279143,  265166,   -1129,   12848,  100.0,    5.2,   40.8,    9.8,   41.7,    9.2,    6.2,    9.3,   16.7,    6.9,    8.5,    2.8,    0.9,   88.4,   93.3,   11.6,    6.7,    467,     27,     39,     40,    160,     51,     97,     83,     67,     85,     26,     10,      8,    391,    306,     9.0,    23.6,    16.7,    36.1,     8.6,    22.1,    14.7,    32.3,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,13874A,CME ,00,138 , 2282648,  145177, 1074214,   65140, 1094727,  247942,  128278,  268404,  461956,   64951,  216093,   77690,    2538, 1985308, 2122709,  297340,  159939,  101704,    4128,   61969,   17629,  -24073,   40646,   27854,   27129,  -67299,   24651,   14063,  -11880,     630,   92011,   94200,    9693,    7504,  100.0,    6.4,   47.1,    2.9,   48.0,   10.9,    5.6,   11.8,   20.2,    2.8,    9.5,    3.4,    0.1,   87.0,   93.0,   13.0,    7.0,    478,     25,     43,     32,    164,     46,     90,     76,     74,     72,     30,     17,      9,    376,    305,    11.1,    26.4,    19.6,    39.0,    10.7,    25.1,    18.5,    37.2,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,13874A,CME ,00,138 , 2180944,  141049, 1012245,   47511, 1118800,  207296,  100424,  241275,  529255,   40300,  202030,   89570,    1908, 1893297, 2028509,  287647,  152435,   54072,     288,   69348,    2810,  -11293,   -1657,    4849,   54984,    6946,   -7706,   11409,  -24619,    -400,   54941,   49571,    -869,    4501,  100.0,    6.5,   46.4,    2.2,   51.3,    9.5,    4.6,   11.1,   24.3,    1.8,    9.3,    4.1,    0.1,   86.8,   93.0,   13.2,    7.0,    459,     23,     41,     25,    163,     47,     87,     62,     77,     56,     24,     20,      4,    342,    289,    12.0,    26.3,    20.7,    37.2,    11.8,    25.5,    19.8,    36.3,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,13874A,CME ,00,138 , 2126872,  140761,  942897,   44701, 1130093,  208953,   95575,  186291,  522309,   48006,  190621,  114189,    2308, 1838356, 1978938,  288516,  147934,    6219,   -7188,   22811,    7887,   -6721,   23158,     582,   -7109,  -26681,   -3586,   15203,  -16472,     -72,   -1004,    7627,    7223,   -1408,  100.0,    6.6,   44.3,    2.1,   53.1,    9.8,    4.5,    8.8,   24.6,    2.3,    9.0,    5.4,    0.1,   86.4,   93.0,   13.6,    7.0,    449,     23,     41,     26,    165,     42,     87,     61,     76,     55,     21,     18,      6,    335,    288,    11.3,    25.7,    20.1,    36.8,    10.7,    24.9,    18.7,    36.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,13874A,CME ,00,138 , 2120653,  147949,  920086,   36814, 1136814,  185795,   94993,  193400,  548990,   51592,  175418,  130661,    2380, 1839360, 1971311,  281293,  149342,   24136,   12543,   22464,    1110,   17796,    1341,   -1717,    3278,     922,    4779,  -16939,   -6817,     -86,   20764,   21996,    3372,    2140,  100.0,    7.0,   43.4,    1.7,   53.6,    8.8,    4.5,    9.1,   25.9,    2.4,    8.3,    6.2,    0.1,   86.7,   93.0,   13.3,    7.0,    432,     18,     43,     23,    158,     43,     85,     57,     72,     56,     21,     18,      4,    322,    278,    12.0,    24.9,    21.0,    36.4,    11.2,    24.2,    19.4,    35.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,13874A,CME ,00,138 , 2096517,  135406,  897622,   35704, 1119018,  184454,   96710,  190122,  548068,   46813,  192357,  137478,    2466, 1818596, 1949315,  277921,  147202,   24654,    -897,   -6249,     881,   11001,    3041,   -1657,   14620,   48212,  -19938,   17334,    -505,   -2823,   18521,   20962,    6133,    3692,  100.0,    6.5,   42.8,    1.7,   53.4,    8.8,    4.6,    9.1,   26.1,    2.2,    9.2,    6.6,    0.1,   86.7,   93.0,   13.3,    7.0,    435,     20,     44,     25,    157,     43,     85,     55,     76,     53,     22,     17,      4,    322,    280,    12.2,    25.0,    21.1,    35.4,    11.4,    24.2,    19.4,    34.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,13874A,CME ,00,138 , 2071863,  136303,  903871,   34823, 1108017,  181413,   98367,  175502,  499856,   66751,  175023,  137983,    5289, 1800075, 1928353,  271788,  143510,   38769,   -5439,    3559,    5404,  -26980,   10980,    1360,   52406,  -19898,   13899,    5786,   23953,    -383,   46053,   38874,   -7284,    -105,  100.0,    6.6,   43.6,    1.7,   53.5,    8.8,    4.7,    8.5,   24.1,    3.2,    8.4,    6.7,    0.3,   86.9,   93.1,   13.1,    6.9,    431,     20,     41,     23,    160,     41,     86,     62,     69,     53,     21,     16,      4,    328,    269,    11.8,    25.9,    20.7,    35.8,    10.8,    25.1,    18.2,    34.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,13874A,CME ,00,138 , 2033094,  141742,  900312,   29419, 1134997,  170433,   97007,  123096,  519754,   52852,  169237,  114030,    5672, 1754022, 1889479,  279072,  143615,   -3375,   -6679,  -10923,    2785,   21563,  -10268,  -11460,  -15228,   -6245,   23931,  -17193,    9208,    -679,   -2960,   -3651,    -415,     276,  100.0,    7.0,   44.3,    1.4,   55.8,    8.4,    4.8,    6.1,   25.6,    2.6,    8.3,    5.6,    0.3,   86.3,   92.9,   13.7,    7.1,    429,     23,     40,     19,    161,     41,     89,     54,     72,     52,     21,     16,      5,    323,    271,    11.3,    27.6,    19.8,    37.4,    11.2,    27.0,    19.0,    36.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874A,CME ,00,138 , 2036469,  148421,  911235,   26634, 1113434,  180701,  108467,  138324,  525999,   28921,  186430,  104822,    6351, 1756982, 1893130,  279487,  143339,   -7621,   11471,  -16733,  -14067,     204,   -6937,   -3826,  -13219,   77091,  -23285,   23269,  -11750,     781,  -18672,    1274,   11051,   -8895,  100.0,    7.3,   44.7,    1.3,   54.7,    8.9,    5.3,    6.8,   25.8,    1.4,    9.2,    5.1,    0.3,   86.3,   93.0,   13.7,    7.0,    424,     23,     36,     23,    159,     42,     90,     59,     68,     52,     23,     13,      4,    329,    264,    11.2,    27.5,    19.6,    38.0,    11.0,    27.0,    18.9,    37.5,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874A,CME ,00,138 , 2044090,  136950,  927968,   40701, 1113230,  187638,  112293,  151543,  448908,   52206,  163161,  116572,    5570, 1775654, 1891856,  268436,  152234,  -25169,   -2771,  -13285,    2884,  -42699,   23430,   11053,     417,  -40712,   10968,    5538,  -12146,   -3471,  -18081,  -21279,   -7088,   -3890,  100.0,    6.7,   45.4,    2.0,   54.5,    9.2,    5.5,    7.4,   22.0,    2.6,    8.0,    5.7,    0.3,   86.9,   92.6,   13.1,    7.4,    434,     21,     39,     24,    158,     42,     87,     64,     69,     48,     23,     17,      5,    329,    269,    10.8,    28.4,    19.1,    39.5,    10.5,    27.7,    18.3,    38.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874A,CME ,00,138 , 2069259,  139721,  941253,   37817, 1155929,  164208,  101240,  151126,  489620,   41238,  157623,  128718,    9041, 1793735, 1913135,  275524,  156124,   10611,   -7095,  -16549,    5202,   -1595,   -9253,     892,    -281,   13606,    8019,   10086,   -6261,    5440,   20668,    1096,  -10057,    9515,  100.0,    6.8,   45.5,    1.8,   55.9,    7.9,    4.9,    7.3,   23.7,    2.0,    7.6,    6.2,    0.4,   86.7,   92.5,   13.3,    7.5,    425,     23,     37,     20,    159,     39,     84,     61,     67,     49,     21,     17,      4,    323,    259,    10.6,    29.0,    18.5,    39.7,    10.1,    28.4,    17.7,    39.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250610,2025-06-10,13874C,CME ,00,138 ,   69562,   50137,   63911,       0,   16411,     222,      27,     224,    4527,       0,       0,       0,       0,   66799,   68687,    2763,     875,   -1573,   -1644,    -577,       0,     -41,    -516,       0,     224,    -214,       0,       0,       0,       0,   -1461,   -1307,    -112,    -266,  100.0,   72.1,   91.9,    0.0,   23.6,    0.3,    0.0,    0.3,    6.5,    0.0,    0.0,    0.0,    0.0,   96.0,   98.7,    4.0,    1.3,     31,     10,      7,      0,      9,.,.,.,.,      0,      0,      0,      0,     20,     12,    68.4,    74.9,    85.2,    96.7,    68.4,    74.9,    85.2,    96.7,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250603,2025-06-03,13874C,CME ,00,138 ,   71135,   51781,   64488,       0,   16452,     738,      27,       0,    4741,       0,       0,       0,       0,   68260,   69994,    2875,    1141,    -440,     802,    -501,       0,    -926,     516,       0,       0,    -656,       0,       0,       0,       0,    -124,    -641,    -316,     201,  100.0,   72.8,   90.7,    0.0,   23.1,    1.0,    0.0,    0.0,    6.7,    0.0,    0.0,    0.0,    0.0,   96.0,   98.4,    4.0,    1.6,     30,     10,      6,      0,      9,.,.,      0,.,      0,      0,      0,      0,     19,     12,    67.9,    73.2,    85.7,    96.4,    67.9,    73.2,    85.7,    96.4,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250527,2025-05-27,13874C,CME ,00,138 ,   71575,   50979,   64989,       0,   17378,     222,      27,       0,    5397,       0,       0,       0,       0,   68384,   70635,    3191,     940,     693,    -364,     297,       0,    1088,       0,      27,       0,     302,       0,    -381,       0,       0,     370,     626,     323,      67,  100.0,   71.2,   90.8,    0.0,   24.3,    0.3,    0.0,    0.0,    7.5,    0.0,    0.0,    0.0,    0.0,   95.5,   98.7,    4.5,    1.3,     30,     10,      6,      0,      9,.,.,      0,      4,      0,      0,      0,      0,     19,     12,    67.3,    73.5,    85.0,    97.1,    67.3,    73.5,    85.0,    97.1,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250520,2025-05-20,13874C,CME ,00,138 ,   70882,   51343,   64692,       0,   16290,     222,       0,       0,    5095,       0,     381,       0,       0,   68014,   70009,    2868,     873,    2982,    -363,    1690,       0,    2475,       0,       0,       0,    1579,       0,     381,       0,       0,    2493,    3269,     489,    -287,  100.0,   72.4,   91.3,    0.0,   23.0,    0.3,    0.0,    0.0,    7.2,    0.0,    0.5,    0.0,    0.0,   96.0,   98.8,    4.0,    1.2,     29,     10,      6,      0,      8,.,      0,      0,.,      0,.,      0,      0,     19,     10,    67.5,    74.1,    85.5,    97.5,    67.5,    74.1,    85.5,    97.5,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250513,2025-05-13,13874C,CME ,00,138 ,   67900,   51706,   63002,       0,   13815,     222,       0,       0,    3516,       0,       0,       0,       0,   65521,   66740,    2379,    1160,     640,    -228,     -60,       0,     759,    -165,       0,       0,      27,       0,       0,       0,       0,     531,    -198,     109,     838,  100.0,   76.2,   92.8,    0.0,   20.3,    0.3,    0.0,    0.0,    5.2,    0.0,    0.0,    0.0,    0.0,   96.5,   98.3,    3.5,    1.7,     27,      9,      7,      0,      7,.,      0,      0,.,      0,      0,      0,      0,     16,     11,    74.7,    71.4,    89.3,    95.9,    74.7,    71.4,    89.3,    95.9,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250506,2025-05-06,13874C,CME ,00,138 ,   67260,   51934,   63062,       0,   13056,     387,       0,       0,    3489,       0,       0,       0,       0,   64990,   66938,    2270,     322,    1128,     -78,     837,       0,    1142,       0,       0,       0,     712,       0,       0,       0,       0,    1064,    1549,      64,    -421,  100.0,   77.2,   93.8,    0.0,   19.4,    0.6,    0.0,    0.0,    5.2,    0.0,    0.0,    0.0,    0.0,   96.6,   99.5,    3.4,    0.5,     27,      9,      7,      0,      7,.,      0,      0,.,      0,      0,      0,      0,     16,     11,    75.8,    72.1,    89.7,    96.9,    75.8,    72.1,    89.7,    96.9,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
