"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210420,2021-04-20,13874A,CME ,00,138 , 2687111,  311936,  805574,   94902, 1274122,  436408,  272319,  256439,  504265,   57875,   99767,  275649,    2949, 2370309, 2449941,  316802,  237170,   43469,  -20155,   25708,   17643,   15867,   -2306,  -11947,   27637,    6557,    7851,    2155,   -8096,      -9,   39042,   35401,    4427,    8068,  100.0,   11.6,   30.0,    3.5,   47.4,   16.2,   10.1,    9.5,   18.8,    2.2,    3.7,   10.3,    0.1,   88.2,   91.2,   11.8,    8.8,    534,     34,     32,     19,    171,     88,    113,     64,     91,     53,     31,     23,.,    375,    347,    12.8,    23.2,    20.6,    31.1,    11.0,    22.4,    17.3,    30.2,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210413,2021-04-13,13874A,CME ,00,138 , 2643642,  332091,  779866,   77259, 1258255,  438714,  284266,  228802,  497708,   50024,   97612,  283745,    2958, 2331267, 2414540,  312375,  229102,   31930,  -26392,  -12500,   56190,    9227,   -9655,  -12918,   10658,   24333,   -1838,     797,  -16281,    -119,   35605,   27212,   -3675,    4718,  100.0,   12.6,   29.5,    2.9,   47.6,   16.6,   10.8,    8.7,   18.8,    1.9,    3.7,   10.7,    0.1,   88.2,   91.3,   11.8,    8.7,    542,     33,     32,     15,    171,     88,    112,     76,     91,     57,     26,     25,      5,    383,    348,    13.0,    22.7,    21.0,    30.9,    10.7,    21.9,    17.3,    30.1,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210406,2021-04-06,13874A,CME ,00,138 , 2611712,  358483,  792366,   21069, 1249028,  448369,  297184,  218144,  473375,   51862,   96815,  300026,    3077, 2295662, 2387328,  316050,  224384,   47048,   -3785,  -11794,     578,   29071,   -2524,  -19028,    5932,   62039,    7026,   -6475,    6361,      17,   13336,   42675,   33712,    4373,  100.0,   13.7,   30.3,    0.8,   47.8,   17.2,   11.4,    8.4,   18.1,    2.0,    3.7,   11.5,    0.1,   87.9,   91.4,   12.1,    8.6,    528,     35,     30,     12,    168,     88,    111,     68,     90,     57,     27,     21,      5,    375,    338,    13.4,    21.9,    21.6,    29.9,    11.8,    21.2,    18.3,    29.2,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210330,2021-03-30,13874A,CME ,00,138 , 2564664,  362268,  804160,   20491, 1219957,  450893,  316212,  212212,  411336,   44836,  103290,  293665,    3060, 2282326, 2344653,  282338,  220011,   24480,  -25194,   11919,    3453,   16098,  -16569,   -3497,   19408,   17022,    1310,     537,    7208,      26,   12141,   20872,   12339,    3608,  100.0,   14.1,   31.4,    0.8,   47.6,   17.6,   12.3,    8.3,   16.0,    1.7,    4.0,   11.5,    0.1,   89.0,   91.4,   11.0,    8.6,    523,     33,     31,     15,    169,     84,    117,     66,     93,     52,     29,     18,      4,    376,    335,    14.1,    22.7,    22.3,    30.7,    12.5,    22.1,    18.8,    30.1,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210323,2021-03-23,13874A,CME ,00,138 , 2540184,  387462,  792241,   17038, 1203859,  467462,  319709,  192804,  394314,   43526,  102753,  286457,    3034, 2270185, 2323781,  269999,  216403, -523468,  -40484,   27750, -200864,   61640,   -8256,  -87530, -127750,  -69796,  -87236,    3958,  -43470,   -3842, -482108, -473244,  -41360,  -50224,  100.0,   15.3,   31.2,    0.7,   47.4,   18.4,   12.6,    7.6,   15.5,    1.7,    4.0,   11.3,    0.1,   89.4,   91.5,   10.6,    8.5,    525,     36,     30,     11,    167,     86,    116,     57,     97,     54,     29,     22,      5,    370,    341,    15.0,    22.6,    23.1,    31.2,    13.3,    22.0,    19.4,    30.6,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210316,2021-03-16,13874A,CME ,00,138 , 3063652,  427946,  764491,  217902, 1142219,  475718,  407239,  320554,  464110,  130762,   98795,  329927,    6876, 2752293, 2797025,  311359,  266627,  283754,   18871,  -11719,  147718,  -13896,  -15218,   61389,  -19342,   22332,   56579,   -8896,   15863,    4020,  246443,  280964,   37311,    2790,  100.0,   14.0,   25.0,    7.1,   37.3,   15.5,   13.3,   10.5,   15.1,    4.3,    3.2,   10.8,    0.2,   89.8,   91.3,   10.2,    8.7,    528,     34,     32,     34,    161,     84,    119,     73,     91,     74,     29,     21,      8,    400,    363,    14.4,    19.5,    21.7,    27.9,    12.0,    16.9,    18.1,    24.3,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210309,2021-03-09,13874A,CME ,00,138 , 2779898,  409075,  776210,   70184, 1156115,  490936,  345850,  339896,  441778,   74183,  107691,  314064,    2856, 2505850, 2516061,  274048,  263837,   12685,  -31062,    8424,   17943,  -18140,   21762,   22892,    4005,  -32828,   20769,    1295,  -10372,    -660,   17042,   47930,   -4357,  -35245,  100.0,   14.7,   27.9,    2.5,   41.6,   17.7,   12.4,   12.2,   15.9,    2.7,    3.9,   11.3,    0.1,   90.1,   90.5,    9.9,    9.5,    544,     34,     36,     22,    159,     86,    114,     75,     95,     70,     32,     27,      4,    395,    359,    13.7,    20.9,    21.6,    29.0,    12.2,    19.5,    18.1,    27.5,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210302,2021-03-02,13874A,CME ,00,138 , 2767213,  440137,  767786,   52241, 1174255,  469174,  322958,  335891,  474606,   53414,  106396,  324436,    3516, 2488808, 2468131,  278405,  299082,  114474,   96566,    8767,    4345,  -82283,   16841,   32073,   38396,  -33594,    4793,    7587,   31901,     255,  101732,   65381,   12742,   49093,  100.0,   15.9,   27.7,    1.9,   42.4,   17.0,   11.7,   12.1,   17.2,    1.9,    3.8,   11.7,    0.1,   89.9,   89.2,   10.1,   10.8,    551,     37,     36,     14,    160,     84,    110,     79,     97,     57,     32,     26,      8,    389,    351,    13.8,    20.7,    22.1,    29.0,    12.8,    19.1,    19.1,    27.4,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210223,2021-02-23,13874A,CME ,00,138 , 2652739,  343571,  759019,   47896, 1256538,  452333,  290885,  297495,  508200,   48621,   98809,  292535,    3261, 2387076, 2402750,  265663,  249989,   16444,  -24612,   37313,    5488,    2149,   14296,   13524,   31273,  -46325,    9593,    -649,  -23064,     349,   37115,   11174,  -20671,    5270,  100.0,   13.0,   28.6,    1.8,   47.4,   17.1,   11.0,   11.2,   19.2,    1.8,    3.7,   11.0,    0.1,   90.0,   90.6,   10.0,    9.4,    541,     34,     39,     18,    160,     82,    107,     74,     96,     57,     31,     25,      5,    377,    351,    12.7,    20.1,    20.6,    28.4,    10.7,    18.7,    18.3,    27.1,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210216,2021-02-16,13874A,CME ,00,138 , 2636295,  368183,  721706,   42408, 1254389,  438037,  277361,  266222,  554525,   39028,   99458,  315599,    2912, 2349961, 2391576,  286334,  244719,   16851,   11927,   -9957,    8013,   13544,   -1961,   -7472,   -8390,   49121,   -3162,   -1472,  -30645,    -228,   12760,    3709,    4091,   13142,  100.0,   14.0,   27.4,    1.6,   47.6,   16.6,   10.5,   10.1,   21.0,    1.5,    3.8,   12.0,    0.1,   89.1,   90.7,   10.9,    9.3,    540,     35,     37,     22,    160,     82,    109,     69,    105,     54,     29,     23,.,    376,    352,    13.0,    19.2,    21.5,    27.9,    11.8,    18.0,    19.6,    26.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210209,2021-02-09,13874A,CME ,00,138 , 2619444,  356256,  731663,   34395, 1240845,  439998,  284833,  274612,  505404,   42190,  100930,  346244,    3140, 2337201, 2387867,  282243,  231577,  -21303,    -275,    -888,    5461,   -8657,  -56888,   15971,  -17599,   22659,     -96,  -15379,  -11128,     116,  -20458,  -24793,    -845,    3490,  100.0,   13.6,   27.9,    1.3,   47.4,   16.8,   10.9,   10.5,   19.3,    1.6,    3.9,   13.2,    0.1,   89.2,   91.2,   10.8,    8.8,    549,     34,     35,     17,    165,     80,    113,     77,     98,     53,     31,     29,      5,    384,    353,    13.0,    19.3,    21.3,    27.9,    11.5,    18.3,    19.3,    26.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210202,2021-02-02,13874A,CME ,00,138 , 2640747,  356531,  732551,   28934, 1249502,  496886,  268862,  292211,  482745,   42286,  116309,  357372,    3024, 2357659, 2412660,  283088,  228087,   23442,   12136,    7116,    1891,  -65932,   17955,   -7444,   48507,    3088,    4551,   12874,   -3451,   -1882,    4701,   21824,   18741,    1618,  100.0,   13.5,   27.7,    1.1,   47.3,   18.8,   10.2,   11.1,   18.3,    1.6,    4.4,   13.5,    0.1,   89.3,   91.4,   10.7,    8.6,    545,     32,     37,     18,    165,     78,    114,     70,    102,     51,     33,     28,      6,    381,    353,    13.2,    18.9,    21.7,    27.6,    12.0,    18.0,    19.6,    26.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210126,2021-01-26,13874A,CME ,00,138 , 2617305,  344395,  725435,   27043, 1315434,  478931,  276306,  243704,  479657,   37735,  103435,  360823,    4906, 2352958, 2390836,  264347,  226469,   17997,   42687,   16003,     -99,  -27935,  -23866,   -5634,     969,   35825,    5728,   -6351,    8005,    1334,   10699,   37296,    7298,  -19299,  100.0,   13.2,   27.7,    1.0,   50.3,   18.3,   10.6,    9.3,   18.3,    1.4,    4.0,   13.8,    0.2,   89.9,   91.3,   10.1,    8.7,    539,     31,     37,     15,    170,     75,    117,     69,     94,     49,     35,     27,      6,    379,    347,    13.3,    18.1,    21.8,    27.2,    11.8,    17.2,    19.9,    26.3,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210119,2021-01-19,13874A,CME ,00,138 , 2599308,  301708,  709432,   27142, 1343369,  502797,  281940,  242735,  443832,   32007,  109786,  352818,    3572, 2342259, 2353540,  257049,  245768,   21194,    7903,   17082,      50,   30569,    2422,   -4037,  -15771,   -4582,    5013,     939,   14448,     396,   25062,   30792,   -3868,   -9598,  100.0,   11.6,   27.3,    1.0,   51.7,   19.3,   10.8,    9.3,   17.1,    1.2,    4.2,   13.6,    0.1,   90.1,   90.5,    9.9,    9.5,    532,     30,     39,     15,    166,     82,    115,     64,     94,     44,     32,     25,      6,    365,    347,    13.3,    17.8,    22.8,    26.8,    12.1,    16.9,    20.7,    25.9,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210112,2021-01-12,13874A,CME ,00,138 , 2578114,  293805,  692350,   27092, 1312800,  500375,  285977,  258506,  448414,   26994,  108847,  338370,    3176, 2317197, 2322748,  260917,  255366,   24634,    9838,   30137,    5688,   -9532,  -35335,   12567,   12643,   21533,   -2814,    2038,  -30232,   -1699,   28729,    -155,   -4095,   24789,  100.0,   11.4,   26.9,    1.1,   50.9,   19.4,   11.1,   10.0,   17.4,    1.0,    4.2,   13.1,    0.1,   89.9,   90.1,   10.1,    9.9,    533,     32,     40,     15,    166,     81,    112,     67,     88,     43,     33,     26,      6,    370,    339,    13.8,    18.2,    23.3,    27.1,    12.4,    17.4,    21.2,    26.2,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",210105,2021-01-05,13874A,CME ,00,138 , 2553480,  283967,  662213,   21404, 1322332,  535710,  273410,  245863,  426881,   29808,  106809,  368602,    4875, 2288468, 2322903,  265012,  230577,   54575,   33534,    3104,     -25,   23648,    8763,   -4252,    3982,   14578,    4186,  -16470,   14571,    1282,   45885,   42207,    8690,   12368,  100.0,   11.1,   25.9,    0.8,   51.8,   21.0,   10.7,    9.6,   16.7,    1.2,    4.2,   14.4,    0.2,   89.6,   91.0,   10.4,    9.0,    536,     33,     36,     15,    163,     84,    114,     70,     90,     53,     30,     30,      4,    372,    350,    14.0,    20.1,    24.2,    29.1,    12.8,    19.9,    22.0,    28.5,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",211214,2021-12-14,13874U,CME ,00,138 ,  228647,   44480,    6708,       0,   16265,    3824,     166,   50634,  160413,   18154,       0,       0,       0,  129699,  189265,   98948,   39382,   22037,    8436,     620,    -214,    -107,   -1395,    -129,     871,    5937,   13834,   -1183,       0,       0,   21508,   18653,     529,    3384,  100.0,   19.5,    2.9,    0.0,    7.1,    1.7,    0.1,   22.1,   70.2,    7.9,    0.0,    0.0,    0.0,   56.7,   82.8,   43.3,   17.2,     23,.,.,      0,      5,.,.,      5,      9,      9,      0,      0,      0,     18,     15,    43.6,    65.5,    51.3,    77.3,    40.2,    63.9,    46.2,    73.8,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",211207,2021-12-07,13874U,CME ,00,138 ,  206610,   36044,    6088,     214,   16372,    5219,     295,   49763,  154476,    4320,    1183,       0,       0,  108191,  170612,   98419,   35998,   15580,      65,     308,     214,    -266,      73,      99,    9788,    7532,    3364,   -1465,       0,       0,   11799,   11590,    3781,    3990,  100.0,   17.4,    2.9,    0.1,    7.9,    2.5,    0.1,   24.1,   74.8,    2.1,    0.6,    0.0,    0.0,   52.4,   82.6,   47.6,   17.4,     27,.,.,.,      5,.,.,      6,     10,      5,.,      0,      0,     19,     16,    41.6,    67.8,    47.5,    78.5,    41.5,    66.0,    46.4,    76.7,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",211130,2021-11-30,13874U,CME ,00,138 ,  191030,   35979,    5780,       0,   16638,    5146,     196,   39975,  146944,     956,    2648,       0,       0,   96392,  159022,   94638,   32008,   25830,    3760,    1146,       0,     272,    4053,     -69,    2574,   33570,   -7717,     -69,       0,       0,   -1249,   30983,   27079,   -5153,  100.0,   18.8,    3.0,    0.0,    8.7,    2.7,    0.1,   20.9,   76.9,    0.5,    1.4,    0.0,    0.0,   50.5,   83.2,   49.5,   16.8,     25,.,.,      0,      5,.,.,      5,      8,.,.,      0,      0,     18,     12,    40.5,    73.0,    45.9,    80.9,    40.5,    72.7,    45.9,    80.5,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",211123,2021-11-23,13874U,CME ,00,138 ,  165200,   32219,    4634,       0,   16366,    1093,     265,   37401,  113374,    8673,    2717,       0,       0,   97641,  128039,   67559,   37161,   14932,    6436,     890,       0,    1197,      27,      23,    1150,   14675,    1660,    1445,       0,       0,   11911,   17275,    3021,   -2343,  100.0,   19.5,    2.8,    0.0,    9.9,    0.7,    0.2,   22.6,   68.6,    5.3,    1.6,    0.0,    0.0,   59.1,   77.5,   40.9,   22.5,     23,.,.,      0,      5,.,.,      4,      8,      4,.,      0,      0,     18,     11,    46.4,    67.8,    54.2,    76.1,    44.4,    63.0,    50.3,    70.9,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",211116,2021-11-16,13874U,CME ,00,138 ,  150268,   25783,    3744,       0,   15169,    1066,     242,   36251,   98699,    7013,    1272,       0,       0,   85730,  110764,   64538,   39504,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   17.2,    2.5,    0.0,   10.1,    0.7,    0.2,   24.1,   65.7,    4.7,    0.8,    0.0,    0.0,   57.1,   73.7,   42.9,   26.3,     21,.,.,      0,      4,.,.,      5,      8,      4,.,      0,      0,     16,     11,    45.5,    65.0,    53.3,    72.3,    44.2,    60.7,    49.9,    67.7,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",211102,2021-11-02,13874U,CME ,00,138 ,  128193,   12485,    2238,       0,   15522,    2936,     183,   31593,   76811,    3629,    2241,       0,       0,   65653,   85797,   62540,   42396,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,    9.7,    1.7,    0.0,   12.1,    2.3,    0.1,   24.6,   59.9,    2.8,    1.7,    0.0,    0.0,   51.2,   66.9,   48.8,   33.1,     20,.,.,      0,      4,.,.,      4,      7,      4,.,      0,      0,     15,     11,    39.3,    59.0,    47.8,    65.0,    39.2,    56.5,    46.6,    62.0,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",210914,2021-09-14,13874U,CME ,00,138 ,  160168,   16625,       0,       0,   15740,    1598,      71,    7431,  103716,   15611,    2656,       0,       0,   58134,  120996,  102034,   39172,   35650,   14237,       0,       0,   -9060,    1598,      -5,    1520,   24401,   12036,     354,       0,       0,   19082,   38030,   16568,   -2380,  100.0,   10.4,    0.0,    0.0,    9.8,    1.0,    0.0,    4.6,   64.8,    9.7,    1.7,    0.0,    0.0,   36.3,   75.5,   63.7,   24.5,     21,.,      0,      0,      5,.,.,      4,      9,      6,.,      0,      0,     14,     14,    26.2,    65.3,    32.1,    74.8,    19.4,    55.9,    24.4,    65.4,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",210907,2021-09-07,13874U,CME ,00,138 ,  124518,    2388,       0,       0,   24800,       0,      76,    5911,   79315,    3575,    2302,       0,       0,   39052,   82966,   85466,   41552,   -9774,    2388,   -1125,       0,     614,       0,      -1,   -2231,   -7541,     611,   -1098,       0,     -12,     271,   -8068,  -10045,   -1706,  100.0,    1.9,    0.0,    0.0,   19.9,    0.0,    0.1,    4.7,   63.7,    2.9,    1.8,    0.0,    0.0,   31.4,   66.6,   68.6,   33.4,     20,.,      0,      0,      6,      0,.,      4,      8,.,.,      0,      0,     13,     12,    20.7,    58.2,    27.1,    66.5,    19.8,    55.4,    25.4,    63.7,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",210831,2021-08-31,13874U,CME ,00,138 ,  134292,       0,    1125,       0,   24186,       0,      77,    8142,   86856,    2964,    3400,       0,      12,   38781,   91034,   95511,   43258,    -837,       0,    -487,       0,      -3,       0,     -44,    2092,   -3087,     581,   -2278,       0,     -10,     338,   -3047,   -1175,    2210,  100.0,    0.0,    0.8,    0.0,   18.0,    0.0,    0.1,    6.1,   64.7,    2.2,    2.5,    0.0,    0.0,   28.9,   67.8,   71.1,   32.2,     21,      0,.,      0,      6,      0,.,      4,      8,      4,.,      0,.,     14,     14,    18.6,    62.4,    24.0,    67.5,    18.2,    60.3,    23.0,    65.4,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",210824,2021-08-24,13874U,CME ,00,138 ,  135129,       0,    1612,       0,   24189,       0,     121,    6050,   89943,    2383,    5678,       0,      22,   38443,   94081,   96686,   41048,   31160,       0,    1612,       0,   -1052,       0,      -4,   -1027,   29921,   -1441,     725,       0,       0,   -2799,   30088,   33959,    1072,  100.0,    0.0,    1.2,    0.0,   17.9,    0.0,    0.1,    4.5,   66.6,    1.8,    4.2,    0.0,    0.0,   28.4,   69.6,   71.6,   30.4,     20,      0,.,      0,      5,      0,.,.,      8,      5,.,      0,.,     14,     14,    19.4,    65.1,    24.5,    69.4,    19.4,    63.4,    23.9,    67.7,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",210817,2021-08-17,13874U,CME ,00,138 ,  103969,       0,       0,       0,   25241,       0,     125,    7077,   60022,    3824,    4953,       0,      22,   41242,   63993,   62727,   39976,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,    0.0,    0.0,    0.0,   24.3,    0.0,    0.1,    6.8,   57.7,    3.7,    4.8,    0.0,    0.0,   39.7,   61.5,   60.3,   38.4,     21,      0,      0,      0,      6,      0,.,      5,      7,      5,.,      0,.,     17,     12,    25.8,    59.4,    32.1,    61.5,    24.0,    55.8,    29.8,    57.7,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",210615,2021-06-15,13874U,CME ,00,138 ,  226994,   23933,    3310,       0,   21958,    1619,      75,  116041,  125591,   22461,    5393,    1100,      49,  189910,  154205,   37084,   72789,   33610,    6091,     171,       0,    -269,     416,     -53,    5046,    4153,   21799,    -285,    1100,      49,   32378,   27635,    1232,    5975,  100.0,   10.5,    1.5,    0.0,    9.7,    0.7,    0.0,   51.1,   55.3,    9.9,    2.4,    0.5,    0.0,   83.7,   67.9,   16.3,   32.1,     20,.,.,      0,      4,.,.,.,      8,      6,.,.,.,     12,     16,    72.2,    61.0,    82.2,    66.0,    69.4,    53.5,    73.1,    56.7,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",210608,2021-06-08,13874U,CME ,00,138 ,  193384,   17842,    3139,       0,   22227,    1203,     128,  110995,  121438,     662,    5678,       0,       0,  157532,  126570,   35852,   66814,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,    9.2,    1.6,    0.0,   11.5,    0.6,    0.1,   57.4,   62.8,    0.3,    2.9,    0.0,    0.0,   81.5,   65.5,   18.5,   34.5,     21,.,.,      0,      5,.,.,      5,      7,      4,.,      0,      0,     14,     13,    72.0,    60.6,    78.5,    64.9,    72.0,    60.4,    78.4,    64.6,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",210413,2021-04-13,13874U,CME ,00,138 ,  115911,       0,    9176,       0,   24788,       0,       0,   49351,   58142,    4176,    3077,       0,       0,   81392,   71494,   34519,   44417,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,    0.0,    7.9,    0.0,   21.4,    0.0,    0.0,   42.6,   50.2,    3.6,    2.7,    0.0,    0.0,   70.2,   61.7,   29.8,   38.3,     20,      0,.,      0,      6,      0,      0,      5,      6,.,.,      0,      0,     14,      8,    56.6,    56.6,    65.5,    61.7,    56.6,    53.0,    63.4,    58.1,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
